"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Feb-2025","EQ","860.70","860.75","838.05","860.75","847.00","850.20","846.74","1,060.00","700.00","4,58,186","38,79,64,850.60","19,798"
"17-Feb-2025","EQ","844.65","863.90","829.55","844.65","863.00","860.75","851.33","1,060.00","700.00","3,17,481","27,02,80,014.70","15,824"
"14-Feb-2025","EQ","866.05","866.05","827.95","861.80","843.95","844.65","845.73","1,060.00","700.00","2,65,730","22,47,35,672.30","13,862"
"13-Feb-2025","EQ","867.95","879.70","854.20","867.20","858.15","861.80","864.25","1,060.00","700.00","4,30,724","37,22,55,250.80","17,978"
"12-Feb-2025","EQ","876.50","876.85","856.05","876.85","868.00","867.20","865.17","1,060.00","700.00","5,18,907","44,89,42,406.45","16,628"
"11-Feb-2025","EQ","890.95","896.00","869.55","893.65","877.00","876.85","879.40","1,060.00","700.00","3,68,981","32,44,81,934.35","21,902"
"10-Feb-2025","EQ","891.00","900.95","879.00","894.80","894.00","893.65","887.26","1,060.00","700.00","2,69,390","23,90,18,981.95","14,626"
"07-Feb-2025","EQ","864.00","906.05","856.00","890.25","893.15","894.80","889.26","1,060.00","700.00","18,51,664","1,64,66,08,723.85","51,062"
"06-Feb-2025","EQ","906.60","906.60","873.50","900.00","887.90","890.25","884.34","1,060.00","700.00","7,84,780","69,40,10,113.70","27,522"
"05-Feb-2025","EQ","907.80","914.75","893.00","907.80","896.40","900.00","903.53","1,060.00","700.00","6,14,423","55,51,48,663.70","22,755"
"04-Feb-2025","EQ","886.80","913.55","879.15","879.75","908.10","907.80","896.42","1,060.00","700.00","1,96,214","17,58,89,575.25","14,286"
"03-Feb-2025","EQ","896.00","906.00","870.90","896.80","880.00","879.75","886.86","1,060.00","700.00","4,41,748","39,17,70,171.10","25,054"
"01-Feb-2025","EQ","920.00","923.60","875.15","917.50","900.00","896.80","899.40","1,060.00","700.00","3,75,203","33,74,57,024.10","14,837"
